rec,_RAJ2000,_DEJ2000
980,161.77375,30.0531389
983,161.7948333,2.9970278
984,161.8289167,17.6118056
988,161.93525,22.1716667
990,162.02675,23.9540278
996,162.1950417,26.7700556
997,162.2205,48.0541111
1002,162.3535833,-0.4298889
1008,162.459375,1.2046111
1009,162.530375,36.3418333
1010,162.5452083,35.0336944
1015,162.6550833,59.0958333
1018,162.73975,9.2651944
1023,162.9030833,4.6510556
1025,162.9917917,3.7920556
1028,163.0420417,8.70125
1031,163.1696667,64.7955278
1032,163.2405417,1.8951111
1037,163.4437917,46.2189167
1038,163.6087083,0.6637222
1039,163.6117083,59.0368056
1040,163.6268333,16.0931667
1041,163.745375,28.0175278
1049,164.0387917,29.6705556
1052,164.192125,5.6611111
1053,164.19625,29.8716944
1054,164.2755,37.2427222
1055,164.2860833,14.9250833
1057,164.3798333,5.6987222
1061,164.4750417,19.5979167
1062,164.4782917,55.5813056
1063,164.48675,16.9095556
1068,164.5510833,7.5716944
1069,164.5919583,41.6373333
1077,164.9353333,10.071
1079,164.9584583,7.3433333
1081,164.9776667,10.09175
1082,165.0161667,17.4243611
1084,165.1500833,-0.0124444
1094,165.3870833,29.6356667
1097,165.5105,3.58025
1101,165.640125,24.0770556
1109,165.8975833,3.3374167
1111,165.910125,45.1799722
1113,165.9491667,16.7415833
1120,166.283875,38.1314444
1121,166.3134583,29.9783889
1123,166.34125,38.2338333
1125,166.366875,2.5621111
1127,166.4203333,29.1469722
1135,166.7782917,31.2765
1137,166.8257917,28.5277778
1138,166.8331667,2.8876667
1139,166.845125,4.7005556
1143,166.9689583,11.01175
1144,166.9779167,13.1056667
1145,166.9962917,7.4827222
1147,167.2133333,28.4756944
1148,167.3039167,31.5476111
1151,167.317,36.0210833
1153,167.4426667,0.8137222
1155,167.493125,37.1360278
1156,167.5092917,21.9821667
1159,167.585625,-0.1223056
1160,167.5889583,23.4149444
1161,167.6107083,28.6876111
1164,167.7083333,57.63625
1169,167.863125,56.5060833
1170,167.9077917,12.1219722
1177,168.0107917,-0.1748333
1178,168.04525,41.0376111
1180,168.0518333,27.4778333
1181,168.0539583,1.3946667
1182,168.0722917,56.5822222
1185,168.082375,28.5708333
1187,168.1026667,7.4948056
1192,168.2196667,27.4438333
1196,168.3615833,30.6075556
1200,168.4662917,10.5633889
1201,168.5667917,28.1630833
1210,168.8257917,27.4013889
1211,168.8280417,38.5076389
1213,168.841375,35.5020278
1218,169.0582917,55.7043333
1224,169.2549583,57.1256111
1225,169.2643333,36.1413056
1228,169.4525417,25.5727778
1229,169.4609167,26.6258056
1230,169.4912083,22.503
1235,169.5741667,28.2260556
1238,169.81925,20.8135556
1240,169.8749583,36.8121944
1243,169.9223333,36.11375
1245,169.9427917,27.7935556
1252,170.0694583,31.7282778
1256,170.2000417,34.4134444
1257,170.216875,31.4601389
1262,170.3550417,46.28925
1264,170.4382917,38.4525
1266,170.4932917,24.7867222
1270,170.678125,29.8802778
1277,170.97975,3.0987222
1278,171.0359583,-1.15775
1279,171.048125,34.0469444
1280,171.104375,57.3008889
1281,171.179125,24.0008611
1283,171.2185,2.4088056
1287,171.3488333,36.1353611
1289,171.3909167,34.2252222
1290,171.4429583,19.8743611
1291,171.4700417,18.5989722
1294,171.5458333,44.1527778
1295,171.5724583,34.8233333
1296,171.5780833,21.0962222
1300,171.708625,24.0813611
1303,171.822625,3.7559444
1307,171.9428333,26.9595833
1310,172.1044583,51.0283611
1312,172.1209167,35.2221944
1313,172.1431667,21.0107222
1317,172.2233333,48.5302222
1319,172.2494583,20.7391389
1320,172.2770417,8.9885833
1322,172.2973333,19.3963333
1324,172.435,5.8048889
1325,172.462875,18.7179444
1326,172.472125,50.1333889
1327,172.5536667,24.1696389
1330,172.6360833,49.1678056
1332,172.6675417,50.6179444
1335,172.77375,22.5196667
1348,173.3138333,23.6881389
1350,173.483125,67.0186389
1352,173.512375,51.1905
1361,173.8472917,34.6253889
1364,173.8665833,63.1196667
1369,174.0415417,10.0555833
1380,174.507625,18.3412778
1381,174.5193333,19.5505556
1382,174.5749167,-3.3543889
1383,174.6370833,23.9421667
1385,174.72325,52.7136111
1394,175.0309167,48.6242222
1398,175.1474583,36.6916111
1401,175.234875,25.7809167
1403,175.2566667,1.49325
1404,175.3372917,33.6947222
1405,175.431,21.1656389
1409,175.5697083,26.0277778
1426,176.0499583,23.10975
1428,176.0950417,8.3875278
1429,176.10475,7.4998611
1430,176.1074167,33.3550833
1432,176.127125,7.0604444
